rho,observed_score,null_mean,null_std,quantile_pct,p_value
0.0,13477.0,14998.415,612.5828650407564,0.2,0.002997002997002997
0.1,14220.1,15824.167,602.9860455285032,0.1,0.001998001998001998
0.2,14963.2,16649.919,596.9963755261764,0.0,0.000999000999000999
0.3,15706.3,17475.671,594.7228517632473,0.0,0.000999000999000999
0.4,16449.4,18301.423,596.2079881686894,0.0,0.000999000999000999
0.5,17192.5,19127.175,601.423940853398,0.0,0.000999000999000999
0.6,17935.6,19952.927,610.2750567046271,0.0,0.000999000999000999
0.7,18678.7,20778.679,622.6063200520605,0.0,0.000999000999000999
0.8,19421.8,21604.431,638.2160382115374,0.0,0.000999000999000999
0.9,20164.9,22430.183,656.8705274411548,0.0,0.000999000999000999
1.0,20908.0,23255.935,678.3186308365265,0.0,0.000999000999000999
