cutoff,n_deviations,n_genes_removed,n_better,n_worse,n_same,proportion_better,ci_95_lo,ci_95_hi,binomial_p,wilcoxon_p,mean_delta_local,mean_hamming
≤3,103,624,34,32,37,0.5152,0.4075,1.0,0.4511,0.4278,4.76,1.26
≤5,189,538,51,54,84,0.4857,0.4018,1.0,0.6518,0.5854,2.35,1.26
≤10,326,401,76,87,163,0.4663,0.3998,1.0,0.8264,0.6748,1.98,1.21
≤15,377,350,84,95,198,0.4693,0.4059,1.0,0.8151,0.6447,1.63,1.2
≤20,395,332,88,98,209,0.4731,0.4109,1.0,0.79,0.642,1.88,1.21
≤50,416,311,94,113,209,0.4541,0.3955,1.0,0.9178,0.873,6.1,1.29
all,727,0,190,326,211,0.3682,0.333,1.0,1.0,1.0,52.74,2.13
